"Name of  Programme  : Higher Diploma in Library and Information Management"
"Subject  : Developments of Library & Information Profession"

"Index No","Registration No","Examiner 01 Marks","Examiner 02 Marks","Assignment Marks","Examiner 03 Marks","Final Marks",Grade
HDLIM/0002,HDLIM/24/0002,56,64,45,N/A,52.5,N/A
HDLIM/0003,HDLIM/24/0003,35,40,56,N/A,46.75,N/A
HDLIM/0004,HDLIM/24/0004,61,55,76,N/A,67,N/A
HDLIM/0005,HDLIM/24/0005,67,69,30,N/A,49,N/A
HDLIM/0006,HDLIM/24/0006,66,64,20,N/A,42.5,N/A
HDLIM/0007,HDLIM/24/0007,61,62,78,N/A,69.75,N/A
HDLIM/0008,HDLIM/24/0008,62,68,65,N/A,65,N/A
HDLIM/0009,HDLIM/24/0009,64,70,76,N/A,71.5,N/A
HDLIM/0010,HDLIM/24/0010,63,70,56,N/A,61.25,N/A
,,
