"Name of  Programme  : 2"
"Subject  : Data Structures and Algorithms"

"Index No","Registration No","Examiner 01 Marks","Examiner 02 Marks","Assignment Marks","Examiner 03 Marks"
DSL/002,DSL/2022/002
DILIM/003,DILIM/2022/003
DSL/004,DSL/2022/004
DILIM/007,DILIM/2022/007
DSL/008,DSL/2022/008
DILIM/009,DILIM/2022/009
DSL/010,DSL/2022/010
DILIM/011,DILIM/2022/011
DSL/012,DSL/2022/012
DILIM/013,DILIM/2022/013
DSL/014,DSL/2022/014
DILIM/015,DILIM/2022/015
DSL/016,DSL/2022/016
DILIM/017,DILIM/2022/017
DSL/018,DSL/2022/018
DILIM/019,DILIM/2022/019
DSL/020,DSL/2022/020
